frequency [Hz],synthHD Pro power [dBm],det power [dBm]
10312000000.0,-3.400000000000002,-1.9269412000000004
10312000000.0,-2.700000000000003,-1.2005071999999999
10312000000.0,-2.0,-0.45792833999999993
10312000000.0,-1.3000000000000007,0.27549875999999995
10312000000.0,-0.6000000000000014,1.0359364
10312000000.0,0.09999999999999787,1.7866522
10312000000.0,0.7999999999999972,2.5244236
10312000000.0,1.4999999999999964,3.2364672
10312000000.0,2.1999999999999957,3.9500769999999994
10312000000.0,2.8999999999999986,4.6683368000000005
10312000000.0,3.5999999999999943,5.4383684
10312000000.0,4.299999999999997,6.1652260000000005
10312000000.0,5.0,6.8592646
10390000000.0,-30.0,-27.073738
10390000000.0,-29.3,-26.616149999999998
10390000000.0,-28.6,-26.151081999999995
10390000000.0,-27.9,-25.626761999999996
10390000000.0,-27.2,-25.087176
10390000000.0,-26.5,-24.54154
10390000000.0,-25.8,-24.00576
10390000000.0,-25.1,-23.503735999999996
10390000000.0,-24.4,-22.949774
10390000000.0,-23.7,-22.244804
10390000000.0,-23.0,-21.552724
10390000000.0,-22.3,-20.949134
10390000000.0,-21.6,-20.348352
10390000000.0,-20.9,-19.774302
10390000000.0,-20.200000000000003,-19.181546
10390000000.0,-19.5,-18.533228
10390000000.0,-18.8,-17.823774
10390000000.0,-18.1,-17.086865999999997
10390000000.0,-17.4,-16.375504
10390000000.0,-16.700000000000003,-15.703648000000001
10390000000.0,-16.0,-15.021098
10390000000.0,-15.3,-14.309068
10390000000.0,-14.600000000000001,-13.556926
10390000000.0,-13.900000000000002,-12.791034
10390000000.0,-13.200000000000003,-12.020118
10390000000.0,-12.5,-11.286048000000001
10390000000.0,-11.8,-10.54457
10390000000.0,-11.100000000000001,-9.796356800000002
10390000000.0,-10.400000000000002,-9.041135
10390000000.0,-9.700000000000003,-8.28456
10390000000.0,-9.0,-7.5244944
10390000000.0,-8.3,-6.778999799999999
10390000000.0,-7.600000000000001,-6.099643
10390000000.0,-6.900000000000002,-5.4262366
10390000000.0,-6.200000000000003,-4.7523476
10390000000.0,-5.5,-4.0632672
10390000000.0,-4.800000000000001,-3.3334102000000003
10390000000.0,-4.100000000000001,-2.6023008
10390000000.0,-3.400000000000002,-1.8795436000000003
10390000000.0,-2.700000000000003,-1.1516407999999998
10390000000.0,-2.0,-0.41399759999999997
10390000000.0,-1.3000000000000007,0.31233586
10390000000.0,-0.6000000000000014,1.0765145999999999
10390000000.0,0.09999999999999787,1.8259248
10390000000.0,0.7999999999999972,2.5596142
10390000000.0,1.4999999999999964,3.2703526
10390000000.0,2.1999999999999957,3.9766341999999995
10390000000.0,2.8999999999999986,4.6878036
10390000000.0,3.5999999999999943,5.461059799999999
10390000000.0,4.299999999999997,6.1875482
10390000000.0,5.0,6.8773349999999995
10468000000.0,-30.0,-26.961432000000002
10468000000.0,-29.3,-26.515570000000004
10468000000.0,-28.6,-26.058102
10468000000.0,-27.9,-25.541356
10468000000.0,-27.2,-25.006834000000005
10468000000.0,-26.5,-24.468542
10468000000.0,-25.8,-23.940636
10468000000.0,-25.1,-23.441567999999997
10468000000.0,-24.4,-22.892467999999997
10468000000.0,-23.7,-22.190676000000003
10468000000.0,-23.0,-21.500274
10468000000.0,-22.3,-20.901056
10468000000.0,-21.6,-20.296919999999997
